bgc_id	bgc_source	bgc_url	bgc_species	bgc_ncbi_taxon	gene_id	gene_iri	pathway_id	pathway_title	pathway_iri	link_type
mibig:BGC0000669	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0000669	Arabidopsis thaliana	3702	AT5G42600	https://identifiers.org/tair.name/AT5G42600	PC1079_r17.0.0_20260203162556	marneral biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1079_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0000670	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0000670	Arabidopsis thaliana	3702	AT5G47990	https://identifiers.org/tair.name/AT5G47990	PC800_r17.0.0_20260203162556	thalianol and derivatives biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC800_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0000670	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0000670	Arabidopsis thaliana	3702	AT5G48000	https://identifiers.org/tair.name/AT5G48000	PC800_r17.0.0_20260203162556	thalianol and derivatives biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC800_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0000670	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0000670	Arabidopsis thaliana	3702	AT5G48010	https://identifiers.org/tair.name/AT5G48010	PC800_r17.0.0_20260203162556	thalianol and derivatives biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC800_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0001313	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0001313	Arabidopsis thaliana	3702	AT4G15340	https://identifiers.org/tair.name/AT4G15340	PC169_r17.0.0_20260203162556	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC169_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0001313	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0001313	Arabidopsis thaliana	3702	AT4G15370	https://identifiers.org/tair.name/AT4G15370	PC888_r17.0.0_20260203162556	baruol biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC888_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002397	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002397	Arabidopsis thaliana	3702	AT3G32040	https://identifiers.org/tair.name/AT3G32040	PC634_r17.0.0_20260203162556	taxadiene biosynthesis (engineered)	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC634_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002397	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002397	Arabidopsis thaliana	3702	AT3G32040	https://identifiers.org/tair.name/AT3G32040	PC691_r17.0.0_20260203162556	geranylgeranyl pyrophosphate biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC691_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002397	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002397	Arabidopsis thaliana	3702	AT3G32040	https://identifiers.org/tair.name/AT3G32040	PC721_r17.0.0_20260203162556	superpathway of phylloquinol biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC721_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002397	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002397	Arabidopsis thaliana	3702	AT3G32040	https://identifiers.org/tair.name/AT3G32040	PC743_r17.0.0_20260203162556	superpathway of geranylgeranyl pyrophosphate biosynthesis II (via MEP)	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC743_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002397	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002397	Arabidopsis thaliana	3702	AT3G32040	https://identifiers.org/tair.name/AT3G32040	PC835_r17.0.0_20260203162556	superpathway of geranylgeranylpyrophosphate biosynthesis I (via mevalonate)	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC835_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002397	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002397	Arabidopsis thaliana	3702	AT3G32040	https://identifiers.org/tair.name/AT3G32040	PC859_r17.0.0_20260203162556	plaunotol biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC859_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002398	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002398	Arabidopsis thaliana	3702	AT3G29430	https://identifiers.org/tair.name/AT3G29430	PC634_r17.0.0_20260203162556	taxadiene biosynthesis (engineered)	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC634_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002398	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002398	Arabidopsis thaliana	3702	AT3G29430	https://identifiers.org/tair.name/AT3G29430	PC691_r17.0.0_20260203162556	geranylgeranyl pyrophosphate biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC691_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002398	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002398	Arabidopsis thaliana	3702	AT3G29430	https://identifiers.org/tair.name/AT3G29430	PC721_r17.0.0_20260203162556	superpathway of phylloquinol biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC721_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002398	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002398	Arabidopsis thaliana	3702	AT3G29430	https://identifiers.org/tair.name/AT3G29430	PC743_r17.0.0_20260203162556	superpathway of geranylgeranyl pyrophosphate biosynthesis II (via MEP)	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC743_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002398	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002398	Arabidopsis thaliana	3702	AT3G29430	https://identifiers.org/tair.name/AT3G29430	PC835_r17.0.0_20260203162556	superpathway of geranylgeranylpyrophosphate biosynthesis I (via mevalonate)	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC835_r17.0.0_20260203162556	direct_gene_ispartof
mibig:BGC0002398	MIBIG	https://mibig.secondarymetabolites.org/repository/BGC0002398	Arabidopsis thaliana	3702	AT3G29430	https://identifiers.org/tair.name/AT3G29430	PC859_r17.0.0_20260203162556	plaunotol biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC859_r17.0.0_20260203162556	direct_gene_ispartof
cluster-1	plantiSMASH	https://plantismash.bioinformatics.nl/precalc/v2/Arabidopsis_thaliana_GCF_000001735.4/#cluster-1	Arabidopsis thaliana	3702	AT1G02050	https://identifiers.org/tair.name/AT1G02050	PC247_r17.0.0_20260203162556	resveratrol biosynthesis	http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC247_r17.0.0_20260203162556	direct_gene_ispartof
